player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Dave,Impostor,8030,20,8050,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3236,20,3256,google/gemini-pro-1.5
Charlie,Crewmate,3193,20,3213,google/gemini-pro-1.5
Alice,Crewmate,2930,20,2950,google/gemini-pro-1.5
Dave,Impostor,8030,20,8050,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3151,20,3171,google/gemini-pro-1.5
Charlie,Crewmate,3110,20,3130,google/gemini-pro-1.5
Alice,Crewmate,2854,20,2874,google/gemini-pro-1.5
Dave,Impostor,8030,20,8050,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3151,20,3171,google/gemini-pro-1.5
Charlie,Crewmate,3110,20,3130,google/gemini-pro-1.5
Alice,Crewmate,2854,20,2874,google/gemini-pro-1.5
Dave,Impostor,8030,20,8050,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3236,20,3256,google/gemini-pro-1.5
Charlie,Crewmate,3110,20,3130,google/gemini-pro-1.5
Alice,Crewmate,2854,20,2874,google/gemini-pro-1.5
Dave,Impostor,8030,20,8050,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3236,20,3256,google/gemini-pro-1.5
Charlie,Crewmate,3193,20,3213,google/gemini-pro-1.5
Alice,Crewmate,2854,20,2874,google/gemini-pro-1.5
Dave,Impostor,8236,20,8256,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3443,20,3463,google/gemini-pro-1.5
Charlie,Crewmate,3398,20,3418,google/gemini-pro-1.5
Alice,Crewmate,3136,20,3156,google/gemini-pro-1.5
Dave,Impostor,8151,20,8171,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3236,20,3256,google/gemini-pro-1.5
Charlie,Crewmate,3193,20,3213,google/gemini-pro-1.5
Alice,Crewmate,2930,20,2950,google/gemini-pro-1.5
Dave,Impostor,8151,20,8171,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3236,20,3256,google/gemini-pro-1.5
Charlie,Crewmate,3193,20,3213,google/gemini-pro-1.5
Alice,Crewmate,2930,20,2950,google/gemini-pro-1.5
Dave,Impostor,8189,20,8209,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3396,20,3416,google/gemini-pro-1.5
Charlie,Crewmate,3193,20,3213,google/gemini-pro-1.5
Alice,Crewmate,2930,20,2950,google/gemini-pro-1.5
Dave,Impostor,8206,20,8226,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3413,20,3433,google/gemini-pro-1.5
Charlie,Crewmate,3368,20,3388,google/gemini-pro-1.5
Alice,Crewmate,2930,20,2950,google/gemini-pro-1.5
Dave,Impostor,8782,20,8802,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3989,20,4009,google/gemini-pro-1.5
Charlie,Crewmate,3944,20,3964,google/gemini-pro-1.5
Alice,Crewmate,3682,20,3702,google/gemini-pro-1.5
Dave,Impostor,8684,20,8704,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3443,20,3463,google/gemini-pro-1.5
Charlie,Crewmate,3398,20,3418,google/gemini-pro-1.5
Alice,Crewmate,3136,20,3156,google/gemini-pro-1.5
Dave,Impostor,8684,20,8704,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3443,20,3463,google/gemini-pro-1.5
Charlie,Crewmate,3398,20,3418,google/gemini-pro-1.5
Alice,Crewmate,3136,20,3156,google/gemini-pro-1.5
Dave,Impostor,8721,20,8741,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3928,20,3948,google/gemini-pro-1.5
Charlie,Crewmate,3398,20,3418,google/gemini-pro-1.5
Alice,Crewmate,3136,20,3156,google/gemini-pro-1.5
Dave,Impostor,8748,20,8768,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3955,20,3975,google/gemini-pro-1.5
Charlie,Crewmate,3910,20,3930,google/gemini-pro-1.5
Alice,Crewmate,3136,20,3156,google/gemini-pro-1.5
Dave,Impostor,9155,20,9175,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4362,20,4382,google/gemini-pro-1.5
Charlie,Crewmate,4317,20,4337,google/gemini-pro-1.5
Alice,Crewmate,4055,20,4075,google/gemini-pro-1.5
Dave,Impostor,9049,20,9069,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3989,20,4009,google/gemini-pro-1.5
Charlie,Crewmate,3944,20,3964,google/gemini-pro-1.5
Alice,Crewmate,3682,20,3702,google/gemini-pro-1.5
Dave,Impostor,9049,20,9069,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3989,20,4009,google/gemini-pro-1.5
Charlie,Crewmate,3944,20,3964,google/gemini-pro-1.5
Alice,Crewmate,3682,20,3702,google/gemini-pro-1.5
Dave,Impostor,9089,20,9109,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4296,20,4316,google/gemini-pro-1.5
Charlie,Crewmate,3944,20,3964,google/gemini-pro-1.5
Alice,Crewmate,3682,20,3702,google/gemini-pro-1.5
Dave,Impostor,9118,20,9138,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4325,20,4345,google/gemini-pro-1.5
Charlie,Crewmate,4280,20,4300,google/gemini-pro-1.5
Alice,Crewmate,3682,20,3702,google/gemini-pro-1.5
Dave,Impostor,9496,20,9516,meta-llama/llama-3.1-8b-instruct
